date,mae,rmse
2024-07-03,0.7588786317419801,1.2007227091590957
2024-07-05,0.3589791871987749,0.5461166871147215
2024-07-08,0.5525328789363257,0.7692766524826704
2024-07-10,0.4111872416991992,0.5443134152188941
2024-07-12,0.32571596116288104,0.44972917742087043
2024-07-15,0.6545104153887138,0.9894876906371852
2024-07-17,0.4927288914243691,0.6642908259172157
2024-07-19,0.45774409373872094,0.6510116829543784
2024-07-22,0.8491053615326114,1.272794757208051
2024-07-24,0.9180887513058117,1.2579501175544738
2024-07-26,0.5693465595849515,0.7785510402752851
2024-07-29,0.8768856000558019,1.2600585493868277
2024-08-12,0.7805818441809008,1.1042230256092926
2024-08-14,0.678111425711098,1.0005706595483197
2024-08-16,0.8081383626200882,1.2441986016918654
2024-08-19,0.8645532943133624,1.4164439802554167
2024-08-21,0.7797074049688341,1.2265699650160866
2024-08-23,0.6938503546920138,1.0614755439089465
2024-08-26,0.5615045325466533,0.8463610306835413
2024-08-28,0.9281671200990363,1.4086905821385922
2024-08-30,0.5473282430158157,0.7626582503677481
2024-09-04,0.8592510008806,1.2637998468457845
2024-09-06,0.9797565142316506,1.4368889588486118
2024-09-09,0.9477101228623145,1.3915835543213277
2024-09-11,0.9405172918595598,1.4487662655286702
2024-09-12,1.1229904103182786,1.6202114630942523
2024-09-13,1.0643767804652555,1.6546834091664318
2024-09-16,1.1732807773471594,1.7815866354331407
2024-09-17,1.0989826911903477,1.6874323473048287
2024-09-18,0.9154309569796901,1.2998936311632987
2024-09-19,0.57862878233488,0.8491966358100485
2024-09-20,0.7635761119188855,1.2299627283480155
2024-09-23,0.834910728187123,1.2122519826291571
2024-09-25,0.8601240968113782,1.2027776602902436
2024-09-26,0.8143886248463486,1.1565006418282031
2024-09-27,0.7245416194277532,0.9712074847227855
2024-09-30,0.6171290528064491,0.8178027040142576
2024-10-02,0.8636571860349173,1.14076756062915
2024-10-03,0.9898389980906099,1.2629593366422462
2024-10-04,0.6556851806191838,0.8230606549310328
2024-10-07,0.6952130915853069,0.9166021923338684
2024-10-08,0.946850224586423,1.2711211028805354
2024-10-09,0.6247368957501438,0.8395657596392946
2024-10-10,0.6834323836941358,0.9348967476953567
2024-10-11,0.5945001329776419,0.8134916787252142
2024-10-15,0.616320152774065,0.8608676960296953
2024-10-16,0.7990354079279584,1.2271416055039053
2024-10-17,0.78834456034606,1.1304317796411367
2024-10-18,0.5383872390803762,0.7513394011913468
2024-10-21,0.8639700234214096,1.2397084906237466
2024-10-22,0.9193498099935914,1.301180161709747
2024-10-23,0.7979577641608063,1.0861122623135027
2024-10-24,1.0698294123504304,1.4192076034989773
2024-10-25,0.9159979132806898,1.178678315170941
2024-10-29,1.2513836264622356,1.6120532908568084
2024-10-30,1.152313244221309,1.4717962876377904
2024-10-31,0.9503950127735561,1.2920766830239794
2024-11-01,0.8325113595499913,1.1573789125539353
2024-11-04,0.8938346633534766,1.2742598120408393
2024-11-05,0.8591937340260978,1.1826276335841321
2024-11-06,0.6463370036731952,0.928937501301126
2024-11-07,0.6967539926226287,0.9486874690583859
2024-11-08,0.4719771703845079,0.6039708710651375
2024-11-13,0.6598857303773679,0.9229515993428569
2024-11-14,0.8835432141131294,1.4115055407691015
2024-11-15,0.5723890115202379,0.7795254844430661
2024-11-18,0.7816773377666826,1.1927710208963243
2024-11-19,0.729546879673296,1.0325987086152737
2024-11-20,0.5467398736992409,0.7633185688298444
2024-11-21,0.7894830317912136,1.146490456858013
2024-11-22,0.4394264254410808,0.5550122281560308
2024-11-25,0.6524705711195549,0.9871322502728559
2024-11-26,0.6741351373099911,1.029708612568949
2024-11-27,0.6493506491089889,1.028657259662566
2024-11-29,0.45596592904923083,0.6857150278683971
2024-12-02,0.65097937958702,0.9718875499080085
2024-12-03,0.6426611240444913,0.9318352734657616
2024-12-04,0.7556029710797025,1.1109423251467743
2024-12-05,0.8080889569524234,1.1802737253713644
2024-12-06,0.7234243055377477,1.0805161538636783
2024-12-09,0.8623225119089519,1.3468232602273367
2024-12-10,0.6691852085113341,1.0554402629071429
2024-12-11,0.8653503191132804,1.2676202903114204
2024-12-12,0.7705904086172968,1.2241159581991623
2024-12-13,0.9175048498325392,1.4562943751639068
2024-12-16,0.8947332759219325,1.436699125473373
2024-12-17,1.145789439322588,1.8514466146033155
2024-12-18,2.522712049855781,3.2383676574847513
2024-12-19,0.8554191451522174,1.1282850697878903
2024-12-20,0.9568543668285888,1.2935119495358183
2024-12-23,0.8462604740254682,1.136108470552758
2024-12-24,0.538416164623679,0.7530792794308129
2024-12-26,0.7605879469683972,1.3793678152403543
2024-12-27,0.5432414793987259,0.6961902210671267
2024-12-30,0.7310080172034105,1.1333716499354813
2024-12-31,0.6017942253274812,0.8122712621842434
2025-01-02,0.8182783020989802,1.0994959491596992
2025-01-03,0.45612062626411015,0.6167378630170759
2025-01-06,0.7292413497705186,1.0124082492711455
2025-01-07,0.7985077841198838,1.1033259643449387
2025-01-08,0.7187287812283784,1.0852498322344506
2025-01-10,0.5024600897079375,0.7730676391039931
2025-01-13,0.7945677914346737,1.0663589890507381
2025-01-14,0.8644085434270938,1.2610577597462886
2025-01-15,0.45213809971181135,0.6869959664940125
2025-01-16,0.5929909295754653,0.9537463068497528
2025-01-17,0.5118079884181271,0.7397641999450537
2025-01-21,0.5227225975061649,0.727875780969941
2025-01-22,0.5335188510107243,0.7466875516237568
2025-01-23,0.7033283776829404,1.1644050719749068
2025-01-24,0.3789851714241873,0.5724442106583313
2025-01-27,0.6889472194446723,0.9887145754269401
