date,market_price,model_price,moneyness,time_to_maturity,market_iv,model_iv
2024-07-03,52.455,52.27796052546421,0.9066840388745209,0.038356164383561646,0.2540073376717975,0.20432315527877792
2024-07-03,0.105,0.043589835979375734,0.9066840388745209,0.038356164383561646,0.22795331596427312,0.20432315527877143
2024-07-03,42.504999999999995,42.34691991956422,0.9248177196520113,0.038356164383561646,0.2149046451179263,0.1844740099132232
2024-07-03,0.13,0.09151385126621978,0.9248177196520113,0.038356164383561646,0.1939109716039465,0.1844740099132194
2024-07-03,32.58,32.469196397910245,0.9429514004295018,0.038356164383561646,0.1766518901378093,0.1628967744817105
2024-07-03,0.19,0.19275495079907054,0.9429514004295018,0.038356164383561646,0.16250107195325256,0.16289677448170584
2024-07-03,22.75,22.709751701202954,0.9610850812069921,0.038356164383561646,0.1418060903680824,0.13882391377092976
2024-07-03,0.33499999999999996,0.4122748752786122,0.9610850812069921,0.038356164383561646,0.13272322793067606,0.13882391377093264
2024-07-03,13.285,13.241850518405114,0.9792187619844825,0.038356164383561646,0.11308376242653277,0.11135113620901552
2024-07-03,0.86,0.9233383136676024,0.9792187619844825,0.038356164383561646,0.1087695675177418,0.11135113620901539
2024-07-03,4.645,4.067673523091974,0.999165810839722,0.038356164383561646,0.09154830481835352,0.07797441409456358
2024-07-03,3.275,2.726022401659975,0.999165810839722,0.038356164383561646,0.09088288149619675,0.07797441409456148
2024-07-03,1.01,0.8141621978741929,1.0154861235394634,0.038356164383561646,0.0834006636052626,0.07677973291353775
2024-07-03,8.885,8.453579235510341,1.0154861235394634,0.038356164383561646,0.09092217024082191,0.0767797329135369
2024-07-03,0.1,0.20985017139625212,1.0336198043169538,0.038356164383561646,0.08421099455521582,0.09641720561192892
2024-07-03,18.665,17.82823183021923,1.0336198043169538,0.038356164383561646,0.1438420607588255,0.09641720561192281
2024-07-03,0.03,0.06641631178463657,1.0517534850944443,0.038356164383561646,0.10341871731380134,0.11466053988072608
2024-07-03,28.665,27.663762591794445,1.0517534850944443,0.038356164383561646,0.19710117206484823,0.11466053988073475
2024-07-03,0.02,0.008204615775815915,1.088020846649425,0.038356164383561646,0.15761242556014574,0.1446714738274437
2024-07-03,48.67,47.56348013815928,1.088020846649425,0.038356164383561646,0.29388720404608604,0.1446714738274909
2024-07-03,0.12,0.05566318564428563,0.825082475375814,0.07671232876712329,0.29703651079179616,0.27182303661844687
2024-07-03,84.515,83.97948286784468,0.8504696284643006,0.07671232876712329,0.329023560793263,0.250989130423813
2024-07-03,0.15000000000000002,0.10311851456307548,0.8504696284643006,0.07671232876712329,0.26333002796089533,0.25098913042384485
2024-07-03,70.62,70.12497506746269,0.8758567815527871,0.07671232876712329,0.2832371887608415,0.2291894479361797
2024-07-03,0.195,0.18977360170686963,0.8758567815527871,0.07671232876712329,0.23008645659807714,0.22918944793617166
2024-07-03,57.754999999999995,57.32357338427779,0.8994305665635247,0.07671232876712329,0.242463028709928,0.2077503151367067
2024-07-03,0.27,0.33373745693877044,0.8994305665635247,0.07671232876712329,0.20064905368608413,0.20775031513670178
2024-07-03,46.92,46.57575600277217,0.9193776154187642,0.07671232876712329,0.20924984836610516,0.18849988803404505
2024-07-03,0.38,0.5396909156319654,0.9193776154187642,0.07671232876712329,0.17633263699464874,0.18849988803404416
2024-07-03,36.185,35.962951899738506,0.9393246642740036,0.07671232876712329,0.17766356052522966,0.1679599202623596
2024-07-03,0.59,0.8806576527971326,0.9393246642740036,0.07671232876712329,0.1531965181829274,0.16795992026236062
2024-07-03,25.705,25.595022134940354,0.9592717131292431,0.07671232876712329,0.14917866192053883,0.1458292611410201
2024-07-03,1.065,1.466498728197808,0.9592717131292431,0.07671232876712329,0.13255442566506823,0.14582926114101913
2024-07-03,15.844999999999999,15.728242365188445,0.9792187619844825,0.07671232876712329,0.12446241219136624,0.12195490954837815
2024-07-03,2.185,2.553489798644724,0.9792187619844825,0.07671232876712329,0.11388622080989974,0.12195490954837916
2024-07-03,7.515000000000001,7.1667541648599045,0.999165810839722,0.07671232876712329,0.10440616326689617,0.09861196849130824
2024-07-03,4.95,4.94577243851501,0.999165810839722,0.07671232876712329,0.09868235267987222,0.09861196849130813
2024-07-03,2.325,2.3289430173961536,1.0191128596949615,0.07671232876712329,0.09209200471950921,0.0921697485476008
2024-07-03,11.245000000000001,11.061732131250087,1.0191128596949615,0.07671232876712329,0.09575653265938924,0.09216974854759974
2024-07-03,0.33,0.7718280566720619,1.042686644705699,0.07671232876712329,0.0879541936994332,0.10766784306949628
2024-07-03,23.665,22.44998270894279,1.042686644705699,0.07671232876712329,0.14408199690945214,0.10766784306949467
2024-07-03,0.08499999999999999,0.38412163589657317,1.0608203254831894,0.07671232876712329,0.09411756527734033,0.12146092807051362
2024-07-03,33.665,32.02024977925714,1.0608203254831894,0.07671232876712329,0.18490183853887993,0.1214609280705138
2024-07-03,0.04,0.20406504230489045,1.07895400626068,0.07671232876712329,0.10739052262802733,0.13449523617046016
2024-07-03,43.67,41.7981666767553,1.07895400626068,0.07671232876712329,0.22326583051249338,0.13449523617046155
2024-07-03,0.03,0.11289297608324805,1.0970876870381703,0.07671232876712329,0.12468505859877133,0.14651443850041415
2024-07-03,53.67,51.6649681016235,1.0970876870381703,0.07671232876712329,0.2595167670508388,0.14651443850041207
2024-07-03,0.02,0.04887068838400416,1.124288208204406,0.07671232876712329,0.14839499955721763,0.162945728129665
2024-07-03,68.67,66.53790605055902,1.124288208204406,0.07671232876712329,0.3111474718782358,0.16294572812967412
